title,image,dateRelease,clientID,showCSCreative,showSophiahat,purchaseURL
Regeneration,DougMillerCDcover.jpg,March 2004,7,TRUE,TRUE,
11:11,BigNeighborhoodCDcover.jpg,September 2005,4,TRUE,TRUE,
Different Door,ThorntonCreekCover.jpg,April 2008,14,TRUE,TRUE,
Walk on Water,KathyMooreCDcover.jpg,May 2009,0,TRUE,TRUE,
As For You,Motel5CDcover.jpg,June 2010,10,TRUE,TRUE,
SophiaHat Presents,CDcover_Sophiahat.jpg,March 2014,,TRUE,TRUE,
Resonance,SteveTreselerCDcover.jpg,April 2012,L7VxmlQv5XRwlRDXEG7,TRUE,TRUE,
Captive,captive.jpg,January 2006,13,TRUE,TRUE,
Mo May,MayPalmer_MoMay.jpg,June 2007,6,TRUE,TRUE,
December Wishing,AnaVelinova.jpg,September 2014,L7VsF1KLxzfwo2DaPCr,TRUE,TRUE,
Airegin Revisited,HalGalper.jpg,April 2011,L7VuDJuK3cLir1PfONB,TRUE,TRUE,
Incredible Edibles,JonathanRooke.jpg,July 2011,L63twLWgYfMBwOmjfqa,TRUE,TRUE,
New and Improved,LanceBuller.jpg,August 2015,L7VyAURaO67gxWIihWR,TRUE,TRUE,
Chapter Two,RayVegaChapterTwo.jpg,September 2013,L63sL0Ubsa_dCwvaWgX,TRUE,TRUE,
Turns,RickMandyke.jpg,January 2014,45,TRUE,TRUE,
Fancypants,ThorntonCreek.jpg,March 2011,14,TRUE,TRUE,
Living In A Blue State,victorJanusz.jpg,November 2015,L63iv0wIyJWworW6abr,TRUE,TRUE,
,,,,TRUE,TRUE,
,,,,TRUE,TRUE,
